PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40068938,Revitalizing Minds: Exploring the Transformative Power of Mindfulness-Based Nursing Interventions on Depression and Resilience in Oncology Patients-A Quasiexperimental Approach.,2025 Apr,Ibrahim AM; Ali SI; Omar MEHE,,
40068891,Microsurgery Education Among United States Plastic Surgery Residency Programs.,2025 Mar 11,Finkelstein ER; Samaha Y; Harris A; Clark M; Singh D; Xu K; Mella-Catinchi J,,
40068778,Stereotactic body radiotherapy for oligoprogressive disease in androgen suppressed prostate cancer: Primary endpoint analysis of the TRAP trial.,2025 Mar 9,Patel P; Dreibe S; Attard G; Cole A; Diez P; Frew J; Guevara J; Levine D; McDonald F; Mullassery V; Murray J; Parker C; Palaniappan N; Pathmanathan A; Reid A; Suh YE; Syndikus I; Tirona A; Tran A; Tunariu N; van As NJ; Wylie J; Tree AC,,
40068665,Prognostic Factors in Pleural Mesothelioma Patients Receiving First-Line Chemotherapy: Establishing the PLECH Baseline Risk Score.,2025 Mar 11,Guijosa A; Cabrera-Miranda LA; Gómez-García AP; Trejo Rosales R; Muñoz-Montaño W; Flores D; Reynoso-Noverón N; Arrieta O,,
40068660,Diagnostic Accuracy and Risk of Malignancy in Salivary Lesions Reclassified Using the Revised Milan System: A Single Institution Retrospective Analysis.,2025 Mar 11,Aravind A; Madan NK; Agrawal M; Ahluwalia C; Ahuja S,,
40068598,CDK4 selective inhibition improves preclinical anti-tumor efficacy and safety.,2025 Mar 10,Palmer CL; Boras B; Pascual B; Li N; Li D; Garza S; Huser N; Yuan JT; Cianfrogna JA; Sung T; McMillan E; Wei N; Carmody J; Kang AN; Darensburg S; Dodd T; Oakley JV; Solowiej J; Nguyen L; Orr STM; Chen P; Johnson E; Yu X; Diehl WC; Gallego GM; Jalaie M; Ferre RA; Cho-Schultz S; Shen H; Deal JG; Zhang Q; Baffi TR; Xu M; Roh W; Lapira-Miller J; Goudeau J; Yu Y; Gupta R; Kim K; Dann SG; Kan Z; Kath JC; Nair SK; Miller N; Murray BW; Nager AR; Quinlan C; Petroski MD; Zhang C; Sacaan A; VanArsdale T; Anders L,,
40068442,Calling time on low-risk drinking guidelines: An evaluation of alternative methods to communicate risks of alcohol use to consumers.,2025 Mar 10,Priore I; Stockwell T; Zhao J; Goulet-Stock S; Kruisselbrink D; Naimi T,,
40068381,Pathogenic germline variants in cancer predisposition genes in patients with multiple primary cancers in an Asian population and the role of extended panel genetic testing.,2025 Mar 10,Cheo SW; Zhao JJ; Ong PY; Ow SGW; Ow CJL; Chan GHJ; Walsh RJ; Lim JSJ; Lim SE; Lim YW; Wong ALA; Wong JE; Lee SC,,
40068370,Efficacy and safety of larotrectinib in patients with TRK fusion gastrointestinal cancer.,2025 Mar 4,Qi C; Shen L; Andre T; Chung HC; Cannon TL; Garralda E; Italiano A; Rieke DT; Liu T; Burcoveanu DI; Neu N; Mussi CE; Xu RH; Hong DS; Drilon A; Berlin J,,
40068253,"Clinical outcomes, toxic effect, and immune microenvironment changes of drug-eluting bead bronchial arterial chemoembolisation/bronchial arterial chemoembolization combined with immunotherapy in treating elderly patients with non-small cell lung cancer.",2025 Feb 13,Xiang J; Lan W; Cai D; Wang Y; Li W; Tu J; Huang J,,
40068175,"Assessing Public Interest in Mammography, Computed Tomography Lung Cancer Screening, and Computed Tomography Colonography Screening Examinations Using Internet Search Data: Cross-Sectional Study.",2025 Mar 11,Zippi ZD; Cortopassi IO; Grage RA; Johnson EM; McCann MR; Mergo PJ; Sonavane SK; Stowell JT; Little BP,,
40068052,Understanding diagnostic delays among newly diagnosed breast cancer patients at a tertiary cancer care center in a low-middle-income country like Bangladesh.,2025 Mar 7,Ferdause J; Ahmed N; Rahman L; Rahatul Aain KR; Ferdausi FA; Kadir AKMS; Haque MA,,
40068025,Nutritional therapy in palliative care units: A bibliometric analysis.,2025 Mar 7,Öner Ö; Ayvat P; Gökmen AN,,
40067793,Introducing carbon quantum dot-Capivasertib drug carrier complex for enhanced treatment of breast cancer.,2025,Rahmandoust M; Abdolrahimi S,,
40067607,Serum Enzymes and Pathologic Complete Response to the Addition of Targeted Therapy in Neoadjuvant Chemotherapy for HER2-Positive Breast Cancer Patients.,2025 Mar 11,Chen Z; Zhang J; Chen W; Chen X; Lu DL; Li J,,
40067589,Aire Mutations and Autoimmune Diseases.,2025,Wolff ASB; Oftedal BE,,
40067529,"Intracorporeal versus extracorporeal neobladder in robot-assisted radical cystectomy: perioperative, oncological, and functional outcomes from a single-institutional experience.",2025 Mar 11,Yan B; Liu Y; Liu Y; Zheng J; He P; Li X; Li Y; Liu Y; Zhou X; Chen Z,,
40067494,Robotic-assisted retroperitoneal lymph node dissection: defining selection parameters-a B-SAFE approach.,2025 Mar 11,Haq K; Chia D; Haroon UM; Oluwole-Ojo A; Reeves F; Verma H; Nair R; Rudman S; Crawley D; Armitage J; Riddick A; Shamash J; O'Brien TS; Fernando A; Challacombe B,,
40067460,Normalization of the percentage of signal recovery derived from dynamic susceptibility contrast perfusion MRI in brain tumors.,2025 Mar 11,Sanvito F; Yao J; Cho NS; Telesca D; Salamon N; Cloughesy TF; Ellingson BM,,
40067439,Pharmacological aspects of FDA-approved novel drug therapies against cancer in 2023: a comprehensive review.,2025 Mar 11,Sangwan K; Goyal PK; Sharma V,,
40067105,MRI-based Deep Learning Algorithm for Assisting Clinically Significant Prostate Cancer Detection: A Bicenter Prospective Study.,2025 Mar,Lee YJ; Moon HW; Choi MH; Eun Jung S; Park YH; Lee JY; Kim DH; Eun Rha S; Kim SH; Lee KW; Choi YJ; Lee YS; Lee W; Lee S; Grimm R; von Busch H; Han D; Lou B; Kamen A,,
40067102,US Liver Imaging Reporting and Data System Version 2017: A Systematic Review and Meta-Analysis.,2025 Mar,Lee S; Yoon JK; Shin J; Shin H; Aslam A; Kamaya A; Rodgers SK; Sirlin CB; Chernyak V,,
40067088,Cardiac MRI optimizes risk stratification accuracy in connective tissue disease-associated pulmonary arterial hypertension: a retrospective cohort study.,2025 Mar 11,Zhang Y; Wang X; Sun X; Zhou Z; Li D; Zhang Y; Hu Q; Shan L; Dai J; Ye H; Zhou L; Zhu Y; Wang Q,,
40067081,"Transforming the concept of connectivity: unveiling tunneling nanotube biology, and their roles in brain development and neurodegeneration.",2025 Mar 11,Palese F; Rakotobe M; Zurzolo C,,
40067052,Prevalence and Associated Factors of Hypercalcemia of Malignancy Among Advanced Cancer Patients Attending Palliative Care Unit of a Tertiary Care Hospital in Bangladesh.,2025 Mar,Rouf R; Bhuiyan AKMMR; Alam A; Chowdhury MK,,
40066932,Rituximab for people with multiple sclerosis.,2025 Mar 11,Filippini G; Kruja J; Del Giovane C,,
40066874,Elucidating diagnostic efficacy and safety of the procedure: cryobiopsy of endobronchial lesions with a flexible bronchoscope.,2024 Dec 31,Sharma D; V V; Saini JK; Sethi P; Jain S; Puskar K,,
40066758,The Impact of Metformin on Weight and Waist Circumference in Patients Treated With Clozapine: A One-Year Retrospective Cohort Study.,2025 Mar 11,Per BL; Loeser S; Edwards S; Lee WS; Wilton LR; Clark SR,,
40066709,Impact of parathyroid gland classification on hypoparathyroidism following total thyroidectomy with central neck dissection for differentiated thyroid cancer.,2025 Dec,Sheng Q; Li W; Zhang P; Wang Q; Zha S; Rao W; Wang B; Xu X; Qiu M; Zhang W; Shan C,,
40066532,"Clinical, Immunologic, and Genetic Characteristics of T-lymphoblastic Leukemia with STIL-TAL1 Fusion.",2025 Mar 1,Kim SM; Roh SK; Ham JY; Kim YK; Chang SH,,
40066248,The Effect of Nonalcoholic Fatty Liver Disease on Extrahepatic Cancers: Evidence From Population-Based Cohort and Mendelian Randomization.,2025 Mar,Wang W; Sun P; Ren X; Lv T; Li M,,
40066210,Prefectural Survey on Immune Checkpoint Inhibitor-Associated Myocarditis at the Start of the Basic Plan to Promote Cancer Control Programs - Phase 4.,2025 Mar 10,Okura Y; Miura S; Tanabe N; Ozaki K; Kashimura T; Kikuchi A; Takenouchi T; Tanaka H; Saijo Y; Inomata T; OCAN 2020 Collaborators,,
40066168,Editorial: Women in science - gastroenterology 2023.,2025,Chetcuti Zammit S; Uroz CP,,
40066100,Cardiovascular toxicity induced by immunotherapy in non-small cell lung cancer: a systematic review and meta-analysis of observational studies.,2025,Sabaté-Ortega J; Teixidor-Vilà E; Sais È; Hernandez-Martínez A; Montañés-Ferrer C; Coma N; Polonio-Alcalá E; Pineda V; Bosch-Barrera J,,
40066096,The post-orchiectomy systemic inflammatory index is associated with tumor characteristics in clinical stage I germ cell tumors.,2025,Lesko P; Mego M,,
40066095,Efficacy and safety of nanoparticle albumin-bound paclitaxel plus cisplatin or nedaplatin plus tegafur/gimeracil/oteracil as induction chemotherapy regimen for hypopharyngeal cancer.,2025,Jiang C; Liu Y; Mo Y; Xu L; Zhu L; Li Z; Xu S; Qin X; Wu G; Kang M; He X; Xue F,,
40066065,"Readiness for Discharge, Quality of Discharge Teaching, Anxiety and Depression in Surgical Patients With Cervical Cancer: A Cross-Sectional Survey.",2025,Yuan J; Zhang J; Cui X; Zhang Y; Wu Y; Xu C,,
40065600,Application of Artificial Intelligence in Cardio-Oncology Imaging for Cancer Therapy-Related Cardiovascular Toxicity: A Systematic Review.,2025 Mar 3,Mushcab H; Al Ramis M; AlRujaib A; Eskandarani R; Sunbul T; AlOtaibi A; Obaidan M; Al Harbi R; Aljabri D,,
40065495,Eosinophil-induced adverse events induced by treatment with programmed cell death 1/ligand 1 inhibitors: A comprehensive disproportionality analysis of the FDA adverse event reporting system.,2025 Mar 10,Lyu L; Bian S; Guan K; Zhao B,,
40065459,Oncological and Survival Endpoints in Cancer Cachexia Clinical Trials: Systematic Review 6 of the Cachexia Endpoints Series.,2025 Apr,Dajani O; Philips I; Størkson EK; Balstad TR; Brown LR; Bye A; Dolan R; Greil C; Hjermstad M; Jakobsen G; Kaasa S; McDonald J; Ottestad I; Sayers J; Simpson M; Sousa MS; Vagnildhaug OM; Yule MS; Laird BJA; Skipworth RJE; Solheim TS; Stares M; Arends J; Cancer Cachexia Endpoints Working Group,,
40065433,The Performance of the Australian-UK-Swiss Clinical Decision Rule for Febrile Neutropenia in Children and Young Adults With Bone and Soft Tissue Sarcomas.,2025 Mar 10,Mahapatra AK; Sahana NS; Windsor RE; Jackson TJ,,
40065414,Comparative safety signals of dopamine agonists: psychiatric and cardiovascular risks derived from FDA adverse event reporting system (FAERS) data.,2025 Mar 10,Mu L; Xu J; Ye X; Jiang Y; Yi Z,,
40065379,"Study on the clinical characteristics, persistent infection capability, and viral load of human papillomavirus type 82 single infection.",2025 Mar 10,Chen Z; Cheng Q; Zhang X; Tao F; Li N; Liu G; Mu X; Zhang M; Dong Z; Li Q,,
40065307,"Health-related quality of life after radical cystectomy for bladder cancer in elderly patients with ileal orthotopic neobladder, ureterocutaneostomy or ileal conduit: cross-sectional study using validated questionnaires.",2025 Mar 10,Altunkol A; Alma E; Vuruşkan E; Çetinkökü G; Karkin K; Aydamirov M; Aksay B; Yelsel K; Akgün ÖF,,
40065305,Risk factors for postoperative hypoalbuminemia in ovarian cancer: a predictive nomogram.,2025 Mar 10,Chen Y; Hu S; Zhou S; Yang Z,,
40065304,Prognostic significance of miR-378 in cancers: a meta-analysis.,2025 Mar 10,Shi L; Wei J; Shen Y; Zhang X; Li L; Deng Y,,
40065302,Development of a generic decision guide for patients in oncology: a qualitative interview study.,2025 Mar 10,Schilling L; Kaden J; Bán I; Berger-Höger B; TARGET group,,
40065248,Different NGS identification methods of somatic mutation sites in solid tumors impact TMB results.,2025 Mar 10,Chen X; Chen H; Liu M; Li M; Zhang F; Ouyang W; Li X; Yang Y; Long N,,
40065100,Synthesis and antitumor evaluation of amino acid conjugates of monocarbonyl curcumin in hepatocellular carcinoma cell.,2025 Mar 10,Cao W; Yu P; Cao Y; Feng S; Yin N,,
40064999,Persistence and clearance rates of human papillomaviruses in a cohort of women treated or not treated for cervical dysplasia in northwest Ethiopia.,2025 Mar 10,Abate A; Munshea A; Nibret E; Alemayehu DH; Alemu A; Abdissa A; Mihret A; Abebe M; Mulu A,,
40064931,Utilization of indocyanine green for intraoperative sentinel lymph node mapping in canine mammary tumors.,2025 Mar 10,Kim S; Lee S,,
40064842,Significant attenuation of fully automated thrombin generation in newly diagnosed multiple myeloma patients after induction therapy.,2025 Mar 10,Velasco-Rodríguez D; Martínez-Alfonzo I; Velasco-Valdazo AE; Domingo-González A; Revilla N; Mahíllo-Fernández I; Askari E; Blanchard MJ; Vidal Laso R; Fernández-Cuezva L; Castro-Quismondo N; Prieto E; Serrano-López J; Rosado B; Naya D; Martín-Herrero S; Menéndez M; Yuste M; Sánchez-Prieto I; Jiménez-Martín A; Bueno MÁ; de la Plaza R; Martínez-López J; Calvo-Villas JM; López-Jiménez J; Llamas-Sillero P,,
40064841,"Incidence of arterial and venous thromboembolism in cancer patients- insights from more than 5,000,000 patients.",2025 Mar 10,Deng HW; Li J; Zhai YS; Mei WY; Lin XX; Xu Q; Zheng Q; Chen JS; Huang ZB; Wu X; Cheng YJ,,
40064803,Research trends and highlights in PD-1/PD-L1 inhibitor immunotherapy in lung cancer: a bibliometric analysis.,2025 Mar 11,Gu Z; Deng E; Ai J; Wu F; Su Q; Yu J,,
40064798,Identification of Predictive Factors for the Development of In-Transit Metastasis in Patients with Melanoma.,2025 Mar 10,Huibers A; Leong SP; Kashani-Sabet M; White RL Jr; Vetto J; Schneebaum S; O'Donoghue C; Howard H; Avisar E; Namm JP; Kosiorek H; Faries M; Karakousis G; Zager JS; Olofsson Bagge R; on behalf of the Sentinel Lymph Node Working Group,,
40064752,Cytokines and chemokines modulate the growth of pituitary adenoma/neuroendocrine tumors: preliminary results of a monocenter prospective pilot study.,2025 Mar 10,Chiloiro S; Mattogno PP; Angelini F; Giampietro A; Vicari A; Konini G; Valeri F; Infante A; Cappoli N; Calandrelli R; Lauretti L; Gaudino S; Gessi M; Rindi G; Olivi A; De Marinis L; Bianchi A; Doglietto F; Pontecorvi A,,
40064690,A histopathological snapshot of bladder cancer: a Johannesburg experience of 1480 histopathology reports.,2025 Mar 11,Jonosky J; Adam A; Wadee R,,
40064679,"Evaluation of chemotherapy-induced nausea and vomiting in low, moderate, and highly emetogenic schemes between sexes.",2025 Mar 10,Albanell-Fernández M; Rodríguez Mues MC; Figueras C; Altamirano M; Monge-Escartín I; Riu-Viladoms G; Carcelero San Martín E; Corominas Bosch ML; Gaba García L,,
40064677,TBC1D30 regulates proinsulin and insulin secretion and is the target of a genomic association signal for proinsulin.,2025 Mar 10,Parsons VA; Vadlamudi S; Voos KM; Rohy AE; Moxley AH; Cannon ME; Rosen JD; Mills CA; Herring LE; Broadaway KA; Lorenzo DN; Mohlke KL,,
40064476,Highlights of 2024. Broadening anti-cancer immunotherapy modalities with antibody-drug conjugates: emerging insights from clinical studies.,2025 Mar 10,Jose J; Hooper JD; Souza-Fonseca-Guimaraes F,,
40064200,Breast Cancer Biopsies With Group 2 and Group 4 Human Epidermal Growth Factor Receptor 2 Fluorescence In Situ Hybridization Results Should Have Repeated Testing on Excision.,2025 Mar 11,Klaric KA; Gravel D; Chang N; Strickland S; Williams P,,
40064150,Age-Stratified Risk of Carboplatin-Induced Nausea and Vomiting in Lung Cancer Patients.,2025 Mar 10,Hashimoto K; Yokokawa T; Nonomiya Y; Shibata N; Soejima A; Kobayashi K; Mae Y; Hasegawa A; Aoyama T; Tateai Y; Ban S; Nigata K; Abe R; Kawakami K; Shimizu H; Ariyasu R; Yanagitani N; Hasegawa K; Yamaguchi M; Suzuki K,,
40064063,Association of immediate symmetrizing oncoplastic surgery with patient-reported outcomes in patients with breast cancer - A retrospective cohort study.,2025 Mar 4,Heidinger M; Bilfeld G; Föge N; Loesch JM; Maggi N; Kiblawi R; Eller RS; Frevert ML; Schwab FD; Kurzeder C; Zwimpfer TA; Weber WP,,
40063683,Evaluating the Impact of Induction and Consolidation Total Neoadjuvant Therapies Compared to Conventional Chemoradiotherapy for Locally Advanced Rectal Cancer: A Systematic Review and Network Meta-analysis.,2025 Mar 11,Cheong C; Kim NW; Shim SR; Kang J,,
40063612,Efficacy of atezolizumab combined with platinum and etoposide in the treatment of extrapulmonary neuroendocrine carcinoma.,2025 Mar 10,Ho IW; Chiang NJ; Lai JI; Chang PM; Chen SC; Hung YP; Chen MH,,
40063607,Response to pembrolizumab in advanced prostate cancer with predictive biomarkers.,2025 Mar 10,Altomare NJ; Li Y; Neill C; Hussain M; VanderWeele DJ,,
40063583,Multimodal prehabilitation in people awaiting acute inpatient cardiac surgery: Study protocol for a pilot feasibility trial (PreP-ACe).,2025,Raut S; Hales A; Twiddy M; Dixon L; Ngaage D; Yates D; Danjoux G; Ingle L,,
40063360,Mechanistic Insights into SENP1 and OCT4 Interaction in Promoting Drug Resistance and Stem Cell Features in Colon Cancer.,2025 Mar 10,Zou J; Chen J; Deng L; Xu B; Yu T; Wang J; He C,,
40063314,Integrative Phosphoproteomic and Metabolomic Analysis of Disruption of Metabolic Homeostasis in Breast Cancer: A Pilot Study.,2025 Mar 10,Niu Y; Zhu X; Ma D; Pan Q; Li X,,
40063182,E3 ligase MIB1 regulates STAT1/P21 signaling via regulation of FGFR1 in colorectal cancer.,2025 Mar 10,Jung C; Park J; Seo SB,,
40063178,Is CO2 laser effective in the surgical management of oral potentially malignant disorders? A systematic review and meta-analysis.,2025 Mar 10,Datarkar A; Shah V; Pandilwar P; Daware S; Datarkar S; Godase P,,
40063012,Phenotype of pheochromocytoma and paraganglioma by germline mutation: a Korean multicenter study.,2025 Mar 1,Park MJ; Park SS; Lee BH; Jang JS; Kim WW; Kim SJ; Lee YM; Lee KE; Sung TY; Seong MW; Lee W; Koh JM; Kim JH; Lee SH,,
40062998,Safe prescribing in cancer patients during the COVID-19 pandemic and outcomes following restart of cancer care following SARS-CoV-2 infection: The COV-SPOT initiative.,2025 Mar 10,Appanna N; Mew R; Williams S; Starkey T; Patel G; Hudson L; Burke E; Aquilina F; Harnett C; Boult H; Greig W; Ubsdell D; Crouch S; Smith P; Jiskrova K; Vallance G; Nallamilli S; Burnett A; Clark J; Khan S; Little M; Liu J; Panneerselvam H; Patel V; Platt J; Tilby M; Watts I; Harper Wynne C; Lee L,,
40062669,Use of Tranexamic Acid in Head and Neck Free Flap Reconstruction.,2025 Mar,Bengur FB; Harris MK; Hu MS; Mualla R; Samadi A; Bourguillon O; Smith J; Nguyen VT; Gimbel ML; Contrera K; Spector M; Solari MG; Kubik MW; Sridharan SS,,
40062647,Non-steroidal anti-inflammatory drugs and risk of kidney cancer: A Swedish nationwide cohort study in the general and high-use populations.,2025 Mar 10,Wadström H; Askling J; Gedeborg R; Feltelius N; Hellgren K,,
40062623,Impact of sympathetic denervation via paraaortic lymphadenectomy on blood pressure in endometrial cancer patients.,2025 Mar 10,Erkılınç S; İşcan SC; Özcan S; Öztürk B; Atlıhan U; Ata C; Avşar HA; Bildacı TB; Çakır İ,,
40062567,Reduced survival for rural patients with hepatocellular carcinoma within a tertiary hospital network: treatment equality is not enough.,2025 Mar 10,Chin A; Ismail AGM; Fan W; Cheng W; Kontorinis N; Chin J; Kong J; Doyle A; Mitchell T,,
40061988,"Predictive value of C-reactive protein, procalcitonin, and total bilirubin levels for pancreatic fistula after gastrectomy for gastric cancer.",2025 Feb 27,Yuan JL; Wen X; Xiong P; Pei L,,
40061986,Predictive value of magnetic resonance imaging parameters combined with tumor markers for rectal cancer recurrence risk after surgery.,2025 Feb 27,Wu L; Zhu JJ; Liang XH; Tong H; Song Y,,
40061973,Efficacy-cost analysis of endoscopic mucosal resection and cold snare polypectomy: A propensity score matching analysis.,2025 Feb 27,Zhang SY; Wang YC; Liu LL; Wang ZH; Guan XM,,
40061912,Cost-effectiveness analysis of switching from a bivalent to a nonavalent HPV vaccination programme in China: a modelling study.,2025 Mar,Gao M; Hu S; Zhao X; You T; Hong Y; Liu Y; Qiao Y; Jit M; Zhao F; Wang C,,
40061834,"Exploration of risk factors and characteristics of COVID-19 infection among patients with hematological malignancies in Suzhou, China: a retrospective study.",2024,Yao Y; Di W; He F; Liu B; Chen X; Guan X; Huang Z; Wang Y; Wu D,,
40061779,Spectrum of Brain Imaging with 3T MRI for Infants with History of Perinatal Hypoxia and their Comparison with 128 Slice NCCT Images.,2024 Dec,Dwivedi A; Dakua A; Agarwal M; Singh SN; Choudhury BK; Chaubey D; Chaubey A,,
40061690,Modulatory Effects of Gingerol in Cancer Cell Growth Through Activation and Suppression of Signal Pathways in Cancer Cell Growth Systemic Review.,2024 Dec,Noor JJ; Sindhu R; Jothi AB; Prabu D; Mohan MR; Dhamodhar D; Fathima L; Haripriya R,,
40061273,"Comprehensive understanding of a rare disease: Cardiac metastatic tumor, a double-center 10-year case review.",2025 Feb 26,Luo LY; Yang TS; He Z; Lin L; Luo XL,,
40061175,Eltrombopag Enhances Recovery from Cytopenias Due to Poor Graft Function after Hematopoietic Cell Transplantation.,2025 Feb 25,Halahleh K; Al-Ya'Goub M; Ma'koseh M; Al-Far R; Da'na W; Pharm RA; Taqash A; Muradi I; Sughayer M; Abu-Jazar H,,
40061172,Integrated Pediatric Intensive Care and Hematopoietic Stem Cell Transplantation Service Improves The Peri-Transplant Survival In Children.,2025 Feb 25,Reddy NA; Mehta R; Jayakumar I; Nair A; Muthukumar V; Duraisamy S; Swaminathan VV; Uppuluri R; Raj R,,
40061165,Prognostic Value of Changes in Combined Child-Pugh Class and ALBI Grade in Hepatocellular Carcinoma Treated with Transcatheter Intra-Arterial Therapy Plus Targeted Therapy and PD-(L)1 Inhibitors.,2025,Huang X; Cao X; Kong Y; Tang F; Cong T; Zhou X,,
40061142,Shorter telomere length as a prognostic marker for survival and recurrence in breast cancer: a systematic review and meta-analysis.,2025,Sasmita DMA; Permana KG; Aryandono T; Heriyanto DS; Anwar SL,,
40061137,Concomitant exposure to benzodiazepines during pembrolizumab-based therapy for advanced non-small-cell lung cancer: a propensity-score matched analysis of monitoring agency data.,2025,Nelli F; Ruggeri EM; Virtuoso A; Giannarelli D; Raso A; Natoni F; Pessina G; Remotti D; Chilelli MG; Signorelli C; Fabbri A,,
40060755,"Fecal microbiota transplantation for the treatment of intestinal and extra-intestinal diseases: Mechanism basis, clinical application, and potential prospect.",2025 Mar,Yi D; Li T; Xiao Y; Zhang X; Hao Q; Zhang F; Qiu T; Yang G; Sun X; Dong Y; Wang N,,
40060705,A Retrospective Real-World Study of Pyrotinib in HER-2 Positive Advanced Breast Cancer.,2025,Yang Z; Fu WD; Gu HY; Ding JL; Guo GL,,
40060301,"Lobbying, transparency and trust: power imbalances and the failure to implement Europe's Beating Cancer Plan.",2025 Apr,Garde A; Gokani N; Perez-Llantada JC; Souter J,,
40060225,Comparison of Diagnostic Methods in Patients with Squamous Intraepithelial Lesion in Women Infected with Multiple High-Risk Human Papillomaviruses.,2025,Bahadoran E; Rahmani B; Nazari E; Hosseinnezhad A; Samieerad F,,
40060196,"PD-1/PD-L1 Inhibitors Plus Chemotherapy Versus Chemotherapy Alone as First-Line Therapy for Patients With Unfavorable Cancer of Unknown Primary: A Multicenter, Retrospective Cohort Study.",2025 Mar,Huang R; Li H; Li S; Shu D; Chen R; Zheng Z; Gao T; Chen M; Hu A; Huang Y; Zheng Q; An X; Xue C; Cai Y; Shi Y,,
40060006,Ionic liquids as stabilisers of therapeutic protein formulations: a review of insulin and monoclonal antibodies.,2025 Feb,Tien S; Kayser V,,
40059718,Assessing Tobacco Harm Perceptions among Transgender and Nonbinary Adults: Results from a Community Informed State-wide Survey.,2025 Mar 10,DeAtley T; Baker A; Denlinger-Apte R; Ogunbajo A; Martinez U; Ceballos R; Wetter DW; Operario D; Kershaw T; Gamarel KE; Restar A,,
40059654,Feasibility Study of Using Electronic Patient-Reported Outcomes to Screen Patients with Advanced Solid Cancers for Palliative Care Needs.,2025 Mar 10,Kaufmann TL; Kearney M; Cortez D; Saxton JW; Goodfellow K; Smith C; Chang P; Sebastian K; Galaznik A; Scott J; Kvale EA; Kamal AH; Bennett AV; Stover AM; Henneghan AM; Pignone M; Rocque GB,,
40059457,COVID-19 Patients Benefitting From Remdesivir for Improved Survival: A Neural Network-Based Approach.,2025 Mar,Garcia-Vidal C; Teijón-Lumbreras C; Aiello TF; Chumbita M; Menendez R; Subirà AM; Peyrony O; Monzó-Gallo P; Gallardo-Pizarro A; Méndez R; Calbo Sebastian E; Ballestero-Tellez M; Cuesta-Chasco G; Martínez JA; Marcos MA; Mensa J; Soriano A,,
40059450,"SNAI2, a potential crossing point between cancer and cardiovascular disease.",2025 Mar 15,Liu Z; Wang Y; Li L; Liu L; Li Y; Li Z; Xie Y; Yu F,,
40059384,Perspectives and Requirements of Patients with Prostate Cancer on Mobile Health Interventions During Androgen Deprivation Therapy: A Descriptive Qualitative Study.,2025 Mar 9,Yin H; Pan C; Gu J; Yang Y,,
40059207,Renal-clearable and tumor-retained nanodots overcoming metabolic reprogramming to boost mitochondrial-targeted photodynamic therapy in triple-negative breast cancer.,2025 Mar 10,Yao D; Wang Y; Dong X; Chen Y; Ji DK; Zou R; Huang Y; Huang W; Wang D,,
40059195,Dummy run study for outlining and plan quality of intensity-modulated radiotherapy in elderly patients with newly diagnosed glioblastoma: The Japan clinical oncology group study JCOG1910 (AgedGlio-PIII).,2025 Mar 9,Ono T; Uto M; Mineharu Y; Arakawa Y; Nakamura M; Nishio T; Igaki H; Nihei K; Ishikura S; Narita Y; Mizowaki T; Brain Tumor Study Group and Radiation Therapy Study Group of the Japan Clinical Oncology Group,,
40059164,"mTORC1 syndrome (TorS): unifying paradigm for PASC, ME/CFS and PAIS.",2025 Mar 10,Bar-Tana J,,
40058845,Establishment of novel prognostic groups for papillary thyroid carcinoma using a modified risk classification based on tumor extension in the guidelines of the Japan Association of Endocrine Surgery.,2025 Mar 8,Ito Y; Yamamoto M; Kihara M; Onoda N; Miya A; Miyauchi A,,
40058783,[Development and reflection on the scope and indications of central lymph node dissection for differentiated thyroid cancer].,2025 Mar 7,Ji XY; Zhang H,,
40058580,Comparison of the Effectiveness of Inguinal Lymphangiography and Transjugular Intrahepatic Portosystemic Shunt (TIPS) Creation in Cirrhosis-Related Chylous Ascites.,2025 Mar 7,Yang Z; Li Y; Chen H; Bao H; Geng J; Li J; Zhang X; Han X,,
40058410,Patient-Centered Perspectives: Examining Quality-of-Life Integration in Recent Phase III Lung Cancer Trials (2019-2023).,2025 Mar 7,Kalantri S; Sainatham C; Gaddipati GN; Tallapalli JR; Singh R; Kloecker GH,,
40058387,Shared decision making with older people on treatment escalation planning for acute deterioration in the emergency medical setting: a UK-based qualitative study of patient perspectives (STREAMS-P).,2025 Feb 21,Warner BE; Wells M; Vindrola C; Brett SJ,,
40058138,Sex disparities in advanced non-small cell lung cancer survival: A Danish nationwide study.,2025 Mar 7,Frost MG; Jensen KJ; Jimenez-Solem E; Qvortrup C; Andersen JAL; Petersen TS,,
40058110,Colonic J-Pouch vs. straight colorectal reconstruction after anal preservation surgery for ultra-low rectal cancer: A prospective cohort study on quality of life and bowel function.,2025 Mar 8,Zhu JH; Zhang FM; Wang Z; Zhang XZ; Wu HF; Huang JY; Zhuang CL; Liu ZC,,
40057908,Chemotherapy-enhanced endoscopic submucosal En Bloc dissection vs. conventional TURBT for NMIBC: a comparative study.,2025 Mar 9,Liu X; Wang Y; Wang Z; Shao B; Liu Q; Li C; Lv C; Bi H; Shan G; Fu S; Chen A; Zeng Y,,
40057858,Sexual Health Outcomes in Sexual Minority and Heterosexual Men After Prostate Radiation Therapy.,2025 Mar 6,Dickstein DR; Kapouranis T; Sigel K; Wheldon CW; Nvepu E; Javier NM; Stewart R; Galsky M; Sfakianos J; Safer JD; Stock R; Goodman K; Rosser BRS; Flynn KE; Marshall DC,,
